# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
2	0.279720	0.279720
3	0.559440	0.279720
4	0.839160	0.279720
6	1.258740	0.419580
7	1.818181	0.559441
8	2.237761	0.419580
9	2.377621	0.139860
10	2.797201	0.419580
11	3.636362	0.839161
12	4.055942	0.419580
13	4.195802	0.139860
14	4.475522	0.279720
15	4.755242	0.279720
16	5.034962	0.279720
17	5.454542	0.419580
19	6.013983	0.559441
20	6.853144	0.839161
21	7.412585	0.559441
22	8.391606	0.979021
23	9.650347	1.258741
24	11.048948	1.398601
25	12.027969	0.979021
26	13.146850	1.118881
27	14.125871	0.979021
28	14.685312	0.559441
29	16.223774	1.538462
30	17.482515	1.258741
31	17.902095	0.419580
32	19.300696	1.398601
33	20.559437	1.258741
34	21.538458	0.979021
35	22.097899	0.559441
36	23.216780	1.118881
37	24.195801	0.979021
38	24.615381	0.419580
39	25.314682	0.699301
40	26.713283	1.398601
41	27.552444	0.839161
42	28.811185	1.258741
43	29.790206	0.979021
44	31.188807	1.398601
45	31.608387	0.419580
46	32.867128	1.258741
47	34.825170	1.958042
48	36.363632	1.538462
49	38.181814	1.818182
50	40.279716	2.097902
51	42.097898	1.818182
52	44.195800	2.097902
53	47.552443	3.356643
54	51.328667	3.776224
55	56.783212	5.454545
56	59.999995	3.216783
57	62.797198	2.797203
58	65.874121	3.076923
59	69.230764	3.356643
60	72.027967	2.797203
61	73.846149	1.818182
62	76.503492	2.657343
63	80.419576	3.916084
64	83.076919	2.657343
65	86.293702	3.216783
66	87.552443	1.258741
67	89.650345	2.097902
68	91.328667	1.678322
69	92.727268	1.398601
70	93.706289	0.979021
71	94.545450	0.839161
72	95.664331	1.118881
73	96.223772	0.559441
74	97.482513	1.258741
75	97.902093	0.419580
76	98.321673	0.419580
77	98.741253	0.419580
78	99.160833	0.419580
